week,manager,slot,player_id,player,pts
2,nicog01,FWD,3667,"Igor Thiago",4.5
2,nicog01,FWD,2770,"Gonzalo García",3
2,nicog01,FWD,1909,"Nicolas Jackson",4.5
2,nicog01,MID,3778,"Iliman Ndiaye",7
2,nicog01,MID,11474,"Mamadou Sangaré",11
2,nicog01,MID,1806,"Elliot Anderson",9.5
2,nicog01,MID,2410,"Bukayo Saka",18
2,nicog01,DEF,10494,"Trai Hume",15.75
2,nicog01,DEF,4270,"Maxim De Cuyper",-3.25
2,nicog01,DEF,6960,"Michael Kayode",5
2,nicog01,GK,1873,"Caoimhín Kelleher",1.5
2,nictrn,FWD,1823,"Antoine Semenyo",15.5
2,nictrn,FWD,2074,"João Pedro",24.5
2,nictrn,FWD,4269,"Christos Tzolis",-0.5
2,nictrn,MID,3790,"Mats Wieffer",6.5
2,nictrn,MID,2415,"Martin Ødegaard",2
2,nictrn,MID,1962,"Mikkel Damsgaard",10.5
2,nictrn,MID,3041,"Yéremy Pino",10
2,nictrn,DEF,4143,"Maxence Lacroix",0
2,nictrn,DEF,3950,"Riccardo Calafiori",18.75
2,nictrn,DEF,3885,"Nico O'Reilly",2
2,nictrn,GK,1031,"James Trafford",8
2,austinclifton,FWD,6611,"Víctor Muñoz",16.5
2,austinclifton,FWD,1963,"Bryan Mbeumo",19.5
2,austinclifton,FWD,1274,"Oliver McBurnie",3.5
2,austinclifton,MID,1830,"Marcus Tavernier",5
2,austinclifton,MID,2403,"Declan Rice",9.5
2,austinclifton,MID,1011,"Morgan Gibbs-White",21
2,austinclifton,MID,1120,"Emiliano Buendía",3
2,austinclifton,DEF,1829,"Milos Kerkez",4
2,austinclifton,DEF,1719,"Josko Gvardiol",14.25
2,austinclifton,DEF,9599,"Luka Vuskovic",0
2,austinclifton,GK,1911,"Djordje Petrovic",9.75
2,officialmaje,FWD,1721,"Erling Haaland",23.5
2,officialmaje,FWD,4901,"Viktor Gyökeres",0
2,officialmaje,MID,1012,"Anthony Elanga",16
2,officialmaje,MID,1863,"Alexis Mac Allister",1.5
2,officialmaje,MID,10495,"Enzo Le Fée",10
2,officialmaje,MID,10528,"Brenden Aaronson",1
2,officialmaje,DEF,1705,"Rúben Dias",9
2,officialmaje,DEF,2408,"Gabriel Magalhães",11.5
2,officialmaje,DEF,2417,"Ben White",16.5
2,officialmaje,DEF,4878,"Jeremie Frimpong",0
2,officialmaje,GK,2399,"David Raya",9.25
2,treyclif3,FWD,13386,"Rayan",4.5
2,treyclif3,FWD,5354,"Mathys Tel",2
2,treyclif3,MID,2051,"Pascal Groß",18
2,treyclif3,MID,7571,"Anton Stach",6
2,treyclif3,MID,2421,"Kai Havertz",2
2,treyclif3,MID,1213,"Bruno Fernandes",49.5
2,treyclif3,DEF,1206,"Harry Maguire",3.25
2,treyclif3,DEF,2047,"Jan Paul van Hecke",6.5
2,treyclif3,DEF,1991,"Jarrad Branthwaite",7.25
2,treyclif3,DEF,1663,"Antonee Robinson",1
2,treyclif3,GK,11577,"Senne Lammens",3.25
2,GlenM22,FWD,13503,"Nilson Angulo",6
2,GlenM22,FWD,1957,"Yoane Wissa",13
2,GlenM22,FWD,4049,"Evanilson",12
2,GlenM22,MID,4864,"Florian Wirtz",10.5
2,GlenM22,MID,14899,"Matt Grimes",2
2,GlenM22,MID,8339,"Rayan Cherki",29.5
2,GlenM22,DEF,1772,"Sven Botman",8
2,GlenM22,DEF,2183,"Marc Guéhi",6.75
2,GlenM22,DEF,2985,"Cristhian Mosquera",7.25
2,GlenM22,DEF,1874,"Virgil van Dijk",3.5
2,GlenM22,GK,1850,"Alisson Becker",-3.5
2,BottomCap,FWD,1786,"Alexander Isak",13
2,BottomCap,FWD,1217,"Marcus Rashford",13
2,BottomCap,FWD,4077,"Thierno Barry",8
2,BottomCap,MID,1712,"Phil Foden",21.5
2,BottomCap,MID,1091,"Morgan Rogers",16
2,BottomCap,MID,2520,"Pedro Neto",19.5
2,BottomCap,MID,1922,"Cole Palmer",16.5
2,BottomCap,DEF,1993,"James Tarkowski",22.25
2,BottomCap,DEF,1211,"Diogo Dalot",11.5
2,BottomCap,DEF,3224,"James Justin",8
2,BottomCap,GK,1097,"Emiliano Martínez",8.25
2,KingAbes,FWD,10130,"Charalampos Kostoulas",6
2,KingAbes,FWD,2526,"Matheus Cunha",13.5
2,KingAbes,FWD,1862,"Cody Gakpo",12
2,KingAbes,MID,3213,"Kiernan Dewsbury-Hall",13
2,KingAbes,MID,1930,"Kevin Schade",16
2,KingAbes,MID,1571,"Diego Gómez",9
2,KingAbes,MID,1940,"Keane Lewis-Potter",15
2,KingAbes,DEF,1865,"Dominik Szoboszlai",12
2,KingAbes,DEF,1933,"Kristoffer Ajer",9.75
2,KingAbes,DEF,8738,"Adrien Truffert",8
2,KingAbes,GK,12055,"Konstantinos Tzolakis",17
